0,comment
0,"['外形', '外观', '外形', '屏幕显示', '范儿', '效果', '精准', '水温', '舒适', '噪音', '速度', '热水', '很快', '热', '服务', '态度', '高', '情况', '能耗', '很好', '省气', '省心']"
1,"['热水器', '非常', '外形', '非常', '简洁', '银色', '磨砂', '质地', '黑色', '按键', '非常', '水温', '调节', '稳定', '水量', '很大', '很快', '很快', '热水', '热水器', '工作', '状态', '声音', '不大', '噪音', '按键', '非常', '方便', '不得不', '客服', '下单', '一直', '客服', '联系', '尤其', '新冠', '病毒', '特殊', '时期']"
2,"['热水器', '完好', '物流', '特', '下单', '小时', '免费', '辛苦', '小哥', '专业', '人员', '热水器', '外观', '漂亮', '效果', '特别', '大气', '厨房', '洗碗', '锅', '洗菜', '专用', '老式', '热水器', '水', '火', '低', '水压', '热水器', '水龙头', '热水', '水温', '调节', '方便', '质量', '杠杠', '购物']"
3,"['外形', '外观', '全新', '巨幕', '大屏', '高端', '颜值', '升级', '精钢', '覆膜', '面板', '易', '清洁', '时尚', '大气', '数码', '清晰', '状态', '效果', '自动', '调节', '水温', '精准', '更', '舒适', '燃气', '变频', '技术', '水温', '变动', '温差', '人体', '几乎', '感觉', '温度', '变化', '不再', '水压', '变动', '自动', '调节', '水温', '水流量', '稳定', '更好', '用水', '情况', '热', '负荷', '自动', '调节', '升数', '手动', '调节', '洗菜', '洗衣', '用水', '噪音', '静音', '技术', '工作', '状态', '声音', '静音', '速度', '速度', '很快', '热', '服务', '疫情', '口罩', '脚', '穿鞋', '技术', '态度', '情况', '专利', '测焰', '稳燃', '高效', '省气', '火', '更', '更', '安全', '舒心', '能效', '高', '热水', '额定功率']"
4,"['噪音', '情况', '效果', '温度', '感觉', '变化', '速度', '水', '很大', '舒服', '外形', '外观', '大气', '服务', '水管', '比较', '长']"
5,"['单', '战役', '激烈', '运营', '果断', '下单', '全省', '心情', '一直', '战段', '决定性', '胜利', '情', '外观', '高端', '大气', '便', '简单', '自已', '品牌', '空调', '强劲']"
6,"['外形', '外观', '简约', '风格', '功能', '燃气', '热水器', '安全', '效果', '效果', '不错', '噪音', '噪音', '非常', '一直', '噪音', '太', '速度', '农村', '水压', '非常', '足', '效果', '非常', '不错', '服务', '疫情', '方便', '动手', '简单', '动手', '难度', '情况', '国家', '能耗', '原来', '热水器', '强']"
7,"['外形', '外观', '屏幕', '很大', '非常', '效果', '温度', '稳定', '非常', '舒适', '噪音', '音量', '排气', '效果', '速度', '很快', '基本', '服务', '不错', '事先', '辅助材料', '清楚', '配件', '价格', '高', '情况', '非常', '省', '电']"
8,"['旧房', '一直', '太阳能', '问题', '燃气', '方便', '省事', '自营', '热水器', '品牌', '物流', '速度', '自然', '没', '外观设计', '简洁', '大方', '温度', '清晰', '非常', '简单', '水', '快', '噪音', '情况', '范围', '温度', '水压', '变化', '能耗', '服务']"
9,"['外观', '非常', '大气', '效果', '水量', '充足', '噪音', '很小', '速度', '快', '服务', '新', '产品', '能耗', '更', '低', '燃气', '热水器', '已经', '新', '更', '更', '安全']"
10,"['自营', '热水器', '品牌', '物流', '速度', '自然', '没', '外观设计', '简洁', '大方', '温度', '清晰', '非常', '简单', '水', '快', '噪音', '情况', '范围', '温度', '水压', '变化', '能耗', '服务', '非常']"
11,"['热水器', '终于', '坏', '不得不', '质量', '故障', '服役', '已经', '必要', '品质', '热水器', '下单', '很快', '几乎', '同步', '效率', '太', '高', '新', '热水器', '原来', '速度', '热水', '速度', '快', '新', '厨房', '浴室', '用水', '影响', '热水器', '工作', '声音', '原来', '明显', '噪音', '能耗', '太', '安全', '热水器', '家庭', '重要', '价格', '实惠', '性价比', '非常', '高', '购物', '体验', '非常']"
12,"['活动', '价格', '比较', '实惠', '发货', '快', '外观', '不锈钢', '容易', '清理', '蛮', '太', '设置', '温度', '热水', '强', '排式', '安全']"
13,"['热水器', '质量', '外观设计', '大气', '精准', '水温', '热水器', '声音', '热水', '速度', '快', '干活', '熟练', '细心', '非常', '客服', '售后', '非常', '购物']"
14,"['热水器', '质量', '外观', '大气', '精准', '水温', '声音', '舒服', '热水', '快', '干活', '熟练', '非常', '客服', '售后', '已经']"
15,"['外形', '外观', '漂亮', '时尚', '科技', '效果', '很好', '噪音', '速度', '有力', '服务', '服务', '情况', '能耗', '低']"
16,"['漏水', '刚', '很大', '气', '快', '噪音', '小伙子', '非常', '快捷', '利索', '品牌', '新', '燃气', '热水器']"
17,"['电风扇', '最终', '物流', '速度', '很快', '热水器', '燃气灶', '热水器', '整体', '简单', '大方', '清晰', '温度', '声音', '很小', '品牌']"
18,"['外形', '外观', '很漂亮', '颜值', '高', '档次', '高', '外形', '效果', '洗菜', '洗碗', '正好', '效果', '理想', '噪音', '基本', '声音', '厨房', '速度', '速度', '杠杠', '流畅', '速热', '效果', '服务', '专业', '服务', '不错', '情况', '范围']"
19,"['物流', '速度', '很快', '入户', '外观', '完好', '服务态度', '热水器', '外观设计', '简洁', '大气', '时尚', '气息', '银灰色', '面板', '非常', '面板', '简便', '调节', '温度', '方便', '热水', '很快', '声音', '比较', '水量', '水温', '很大', '稳定']"
20,"['热水器', '外形', '简洁', '银色', '磨砂', '质地', '黑色', '按键', '非常', '水温', '调节', '稳定', '水量', '很大', '很快', '很快', '热水', '热水器', '工作', '状态', '声音', '不大', '噪音', '按键', '非常', '方便', '不得不', '客服', '下单', '一直', '客服', '联系']"
21,"['原来', '杂牌', '热水器', '坏', '坏', '安生', '活动', '索性', '热水器', '品牌', '自然', '品牌', '非常', '信赖', '售后', '非常', '非常', '细心', '免费', '体验', '极', '高', '总体', '非常', '出品', '必', '精品']"
22,"['外形', '外观', '外观', '时尚', '质量', '不错', '手感', '款式', '大方', '耐看', '品牌', '效果', '效果', '稳定', '不错', '家人', '冷热水', '调试', '非常', '方便', '噪音', '噪音', '很小', '声音', '速度', '速度', '快', '容量', '低', '水压', '服务', '服务态度', '满分', '情况', '正常']"
23,"['外形', '外观', '大气', '效果', '水温', '噪音', '声音', '很小', '速度', '很快', '服务', '服务到位', '情况']"
24,"['外形', '外观', '外观', '造型', '漂亮', '时尚', '大方', '效果', '效果', '很棒', '噪音', '噪音', '稳定', '耐用', '速度', '速度', '快', '服务', '认真负责', '必须', '情况', '能耗', '低', '非常', '非常', '品牌']"
25,"['赶上', '双', '活动', '下单', '便宜', '大毛', '品牌', '品牌', '质量', '更', '机器', '外观', '简单', '大气', '颜色', '大气', '中', '高端', '机型', '非常', '方便', '家庭', '正常', '性价比', '热水器']"
26,"['性价比', '非常', '高', '活动', '免费', '效果', '速度', '特别', '快', '低', '噪音', '很大', '颜值', '高', '水温', '随意', '高', '灵活', '品牌', '一直', '非常', '信任', '非常', '不错']"
27,"['热水器', '调试', '正常', '噪音', '简单', '方便', '服务']"
28,"['外形', '外观', '外形', '外观', '很漂亮', '大面积', '黑色', '档次', '燃气', '办法', '通气', '实验', '先', '服务', '服务', '态度', '问题', '价位', '便宜', '实惠', '通气', '评论']"
29,"['外形', '外观', '大方', '传统', '效果', '噪音', '基本', '原来', '老板', '牌', '速度', '流畅', '服务', '师父', '非常', '情况', '能耗']"
30,"['外形', '外观', '外观', '大气', '外形', '效果', '效果显著', '比较稳定', '噪音', '噪音', '极小', '效果', '非常', '速度', '速度', '快', '非常', '产品', '服务', '比较', '细心', '情况', '用气', '产品']"
