good_id,brand,price,score,comment,creationMonth
JSQ22-HWA,美的（Midea）,799.00,1,没装上，就降价，我我醉了,2020-06
JSQ22-HWA,美的（Midea）,799.00,1,买回来就是坏的，忙了半天,2020-07
JSQ22-HWA,美的（Midea）,799.00,1,购买一个月降价10%，也申请不了加保,2020-06
JSQ22-HWA,美的（Midea）,799.00,1,减价好多，竟然不给保价,2019-05
JSQ22-HWA,美的（Midea）,799.00,1,两次货都是有故障，退货了,2019-11
JSQ22-HWA,美的（Midea）,799.00,1,"恒温效果：热水来得慢
噪音大小：噪音大",2019-11
JSQ22-HWA,美的（Midea）,799.00,1,噪音大小：噪音大，震动强,2019-12
JSQ22-HWA,美的（Midea）,799.00,1,送货不及时，没人安装，找客服各种退，差,2020-06
JSQ22-HWA,美的（Midea）,799.00,1,买回来就不能用，也没检修人员上门处理,2019-11
JSQ22-HWA,美的（Midea）,799.00,1,收到货打开差一个配件，,2020-03
JSQ22-HWA,美的（Midea）,799.00,1,几天都没人来安装，什么情况？,2019-08
JSQ22-HWA,美的（Midea）,799.00,1,退货一个多礼拜没人来取，客服电话打了78个不来人取货,2019-11
JSQ22-HWA,美的（Midea）,799.00,1,这款热水器怎么没配接气管头的，害我重新买一个,2019-08
JSQ22-HWA,美的（Midea）,799.00,1,外形外观：全是划伤，还是新的,2019-10
JSQ22-HWA,美的（Midea）,799.00,1,质量一般吧，份价钱一份货。,2019-07
JSQ22-HWA,美的（Midea）,799.00,1,安装服务：不料学 退货吧,2020-03
JSQ22-HWA,美的（Midea）,799.00,1,安装技工装好测试无法启动，只能换机,2019-07
JSQ22-HWA,美的（Midea）,799.00,1,用着不怎么理想，不知道能用多久，外观也不是很好看,2020-03
JSQ22-HWA,美的（Midea）,799.00,1,噪音大小：噪音很大了！别的都还可以！,2019-11
JSQ22-HWA,美的（Midea）,799.00,1,帮我看看这个上面收费和实际对吗,2019-08
JSQ22-HWA,美的（Midea）,799.00,1,质量还次嗯，京东自营了也不行，,2019-04
JSQ22-HWA,美的（Midea）,799.00,1,售后服务态度不好,2019-07
JSQ22-HWA,美的（Midea）,799.00,1,东西更本没法用,2019-05
