good_id,brand,price,score,comment,creationDate
JSQ22-HWA,美的（Midea）,799.00,5,"外形外观：外形美观大方，大屏幕显示很有范儿
恒温效果：精准控制水温，冬天洗澡很舒适
噪音大小：运行安静
出水速度：热水出水很快，即开即热
安装服务：安装师傅态度很高
耗能情况：能耗控制的很好，省气省心",2020-01-09
JSQ22-HWA,美的（Midea）,799.00,5,热水器非常好用，外形非常简洁，银色磨砂质地，加上黑色按键，非常高级。水温可调节，也很稳定，不会忽冷忽热，水量也很大，加热也很快，就算关掉在开，也很快热水衔接。而且，热水器工作状态，声音也不大，没有噪音。按键只要三个，操作非常方便。不得不赞的是客服，从下单开始，就一直有客服联系，确定送货及安装时间，尤其在新冠病毒隔离的特殊时期，能及时送货安装，非常感谢！,2020-02-18
JSQ22-HWA,美的（Midea）,799.00,5,热水器包装完好，没有损坏！京东物流特超快！下单后不到24小时就免费送货到家！辛苦了快递小哥！到货笫二天专业人员就上门安装！热水器外观漂亮！恒温效果好！显得特别大气！我是安装在厨房里洗碗！洗锅！洗菜专用！之前用的是一款老式的热水器由于水压低！有时点不然火！美的这款低水压也能用的热水器！水龙头一开就是热水！水温调节方便！质量杠杠的！开心的一次购物！,2020-04-08
JSQ22-HWA,美的（Midea）,799.00,5,"外形外观：美观大方，全新巨幕大屏，高端颜值升级，精钢拉丝覆膜面板，美观易清洁，经久耐用，时尚大气。LED数码显示，操作清晰，加热状态一目了然。
恒温效果：恒温芯自动调节水温，精准控温更舒适。恒温芯与燃气比例阀的变频恒温技术，将水温变动温差控制在&plusmn;0.5℃以内，人体几乎感觉不到温度变化，沐浴不再忽冷忽热，恒温芯感知水压变动，自动调节水温，使出水流量稳定，更好保障恒温，还可根据用水情况匹配热负荷输出，自动调节升数，无需手动调节，沐浴、洗漱、洗菜、洗衣可同时用水。
噪音大小：采用静音技术，工作状态声音小，运行静音。
出水速度：出水速度很快，即开即热。
安装服务：疫情期间，安装师傅佩戴口罩，脚穿鞋套进门安装，技术好，态度和蔼，服务周到。
耗能情况：专利测焰稳燃，高效燃烧，节能省气，创新V型火排，燃烧更充分，减少CO排放，沐浴更安全舒心。二级能效，高热水输出率，节能环保，额定功率42W。",2020-06-27
JSQ22-HWA,美的（Midea）,799.00,5,"噪音大小：可以接受，
耗能情况：没注意
恒温效果：调好温度用起来感觉没什么变化
出水速度：水很大，洗澡很舒服
外形外观：美观大气
安装服务：是自己叫家里的师傅安装的，主要是按的水管比较长",2020-01-02
JSQ22-HWA,美的（Midea）,799.00,5,2月13曰下的单，战役正在激烈的进行，那时只是听说京东快递还在运营就果断下单了，结果湖北全省封封封，期待的心情一直等等等。络于3月16日，战段取得了决定性胜利，役情走了，快递来了，宝贝到了。外观高端，大气，上档次。便用简单，功能强大。自已搞维修的，就自己安装了。大品牌，一如既往的好。2005年买的美的空调，现在制冷依旧强劲。,2020-03-22
JSQ22-HWA,美的（Midea）,799.00,5,"外形外观：简约风格，没有花里胡哨的功能。燃气热水器就是安全节能。这款符合我的要求。
恒温效果：恒温效果试了一下还很不错。
噪音大小：噪音非常小，一直受家里人的好评，以前那个噪音太大了。
出水速度：我们家在农村，水压非常足。出水效果非常不错。
安装服务：疫情期间上门安装不方便自己动手安装。很简单，自己动手的话没有难度。
耗能情况：国家能耗二级应该还行。比原来的热水器三级应该强很多。",2020-02-07
JSQ22-HWA,美的（Midea）,799.00,5,"外形外观：美观大方，屏幕很大，触摸屏操作，非常好！
恒温效果：温度稳定，非常舒适的洗浴感受。
噪音大小：音量较小，排气效果好。
出水速度：出水很快，基本就是瞬间即来。
安装服务：按照不错，就是师傅没有事先把需要的辅助材料告诉清楚，安装师傅的配件价格过高。
耗能情况：节能环保，非常省电。",2020-03-23
JSQ22-HWA,美的（Midea）,799.00,5,旧房改造一直用的太阳能，冬天洗澡就成了问题，想着燃气的方便省事，就选了京东自营的美的的热水器，大品牌放心，物流速度自然是没的说，外观设计简洁大方，温度显示清晰，操作非常的简单，来水也快，噪音情况在接受范围，温度随水压的变化没有大的起伏，能耗还行，安装服务也很到位。,2019-11-07
JSQ22-HWA,美的（Midea）,799.00,5,外观非常大气，恒温效果很好，水量也充足，噪音很小，出水速度快，安装服务很好，新产品能耗更低了。以前的燃气热水器已经用了10年了，换成新的更放心，更安全。,2020-06-12
JSQ22-HWA,美的（Midea）,799.00,5,京东自营的美的的热水器，大品牌放心，物流速度自然是没的说，外观设计简洁大方，温度显示清晰，操作非常的简单，来水也快，噪音情况在接受范围，温度随水压的变化没有大的起伏，能耗还行，安装服务也很到位。非常好的。,2020-01-22
JSQ22-HWA,美的（Midea）,799.00,5,家里用了十年的美的热水器终于坏了，也不得不佩服美的的质量，十年间没有出过故障，还超龄服役了这么久！考虑到已经没有继续维修的必要，基于对美的的品质认可，继续购买美的热水器。前一天下单第二天就送到了，安装师傅也很快，几乎是同步到达，效率太高了！新的热水器是12升的，比原来的10升大了一点，出水的速度和热水来的速度比以前的快了很多，而且新的这个是恒温的，厨房和浴室同时用水也不会忽冷忽热彼此影响，热水器工作时的声音比原来的小很多，不会觉得有明显的噪音，二级能耗也能确保不会太多的耗电，加上强排也让人觉得安全安心，这款热水器完全可以满足家庭使用需求，最重要的是价格实惠，性价比非常高！总之，这次购物体验非常好！,2020-03-14
JSQ22-HWA,美的（Midea）,799.00,5,趁618做活动买的价格还是比较实惠哟.发货快。两天就收到了。外观美观大方，不锈钢也容易清理。上门安装还蛮及时，安装好很好用，比我以前的那个好太多了，这个是恒温的，设置好温度就可以了，随时开随时有热水。强排式的安全。,2020-07-02
JSQ22-HWA,美的（Midea）,799.00,5,美的热水器质量很好，外观设计大气上档次，精准控制水温，热水器声音小，出热水速度快，安装师傅干活熟练细心周到，非常好，感谢美的客服，感谢售后还会回购的，非常满意的一 次购物。,2020-06-11
JSQ22-HWA,美的（Midea）,799.00,5,美的热水器质量就是好，外观大气，精准控制水温，声音较小，听着舒服，热水出的快，安装师傅干活熟练，非常好，感谢美的客服，感谢售后，已经是第二次购买了。,2020-05-16
JSQ22-HWA,美的（Midea）,799.00,5,"外形外观：漂亮，时尚，有科技感！
恒温效果：很好的
噪音大小：很安静
出水速度：出水大，有力
安装服务：安装服务好
耗能情况：能耗低",2020-06-26
JSQ22-HWA,美的（Midea）,799.00,5,家里万家乐的用了9年，漏水了，不能用了，挑选这款美的的12升的，昨天送到，今天刚安装完，很大气，出水快，噪音还可以，能接受，安装俩小伙子非常好，快捷，利索，点赞??！美的大品牌，信得过，美好生活从新的燃气热水器开始哈哈哈???????????,2020-05-26
JSQ22-HWA,美的（Midea）,799.00,5,在美的和万家乐之间选了好久，看了一眼家里用了21年的美的电风扇，最终还是选的美的。京东物流速度很快，第二天安装师傅就来了，把热水器和燃气灶一起安装了。热水器整体简单大方，显示清晰，出水温度恒定，燃烧声音很小。没选错美的品牌。,2019-12-23
JSQ22-HWA,美的（Midea）,799.00,5,"外形外观：很漂亮，颜值很高，看上去档次很高。外形美观大方。
恒温效果：平时洗菜洗碗38度正好，恒温效果理想。
噪音大小：基本没什么声音，在厨房安装的。
出水速度：出水速度杠杠的，很流畅，速热效果很好！
安装服务：安装很满意，师傅专业，美的的服务不错。
耗能情况：目前在接受范围。",2020-06-12
JSQ22-HWA,美的（Midea）,799.00,5,物流速度很快，送货入户，外观保护完好，服务态度很好。提前预约安装及时，热水器与描述相符，外观设计简洁大气，但又不失时尚气息，银灰色的拉丝面板非常高雅。操控面板很简便，调节温度方便，热水出水很快，声音也比较小，水量和水温都很大和稳定。,2020-05-27
JSQ22-HWA,美的（Midea）,799.00,5,"热水器外形简洁,银色磨砂质地,加上黑色按键,非常高级。水温可调节,也很稳定,不会忽冷忽热,水量也很大,加热也很快,就算关掉在开,也很快热水衔接。而且,热水器工作状态,声音也不大,没有噪音。按键只要三个,操作非常方便。不得不赞的是客服,从下单开始,就一直有客服联系,确定送货及安装时间,能及时送货安装,非常感谢！！",2020-06-09
JSQ22-HWA,美的（Midea）,799.00,5,原来买的杂牌热水器总是坏了又坏，洗个澡也不安生，这次618活动索性就买一个，热水器首选的品牌自然是美的，大品牌，非常值得信赖，而且6年保修，美的的售后也是非常放心，安装师傅安装也非常细心，免费安装，体验极高，总体非常满意，赞赞赞。京东出品，必属精品。,2020-06-20
JSQ22-HWA,美的（Midea）,799.00,5,"外形外观：外观时尚好看，质量不错，手感好。款式大方耐看，做工很好，大品牌放心。
恒温效果：恒温效果稳定不错的，家人冷热水都可以调试，非常好，很方便。
噪音大小：噪音很小，声音小。
出水速度：出水速度快，容量大的，低水压也可以用。
安装服务：安装很到位服务态度好满分
耗能情况：正常使用",2020-03-27
JSQ22-HWA,美的（Midea）,799.00,5,"外形外观：大气好看
恒温效果：水温恒温
噪音大小：声音很小
出水速度：出水很快
安装服务：服务到位
耗能情况：耗能适中",2020-06-21
JSQ22-HWA,美的（Midea）,799.00,5,"外形外观：外观造型漂亮，时尚大方，不落俗套，
恒温效果：恒温效果很棒，超级nice哦，
噪音大小：噪音小，安静，稳定，耐用，
出水速度：出水速度快，
安装服务：安装师傅认真负责仔细，必须好评点赞，
耗能情况：能耗低，节能环保，非常非常好，
好评好评，推荐大家购买，美的大品牌！",2019-12-26
JSQ22-HWA,美的（Midea）,799.00,5,赶上双十二做活动，超级划算！比平时下单足足便宜了两大毛，品牌还是美的的大品牌。质量更不用多说肯定有保障。机器外观简单大气，颜色大气上档次，可比美两千以上的中高端机型。使用起来也非常方便，十二升足够一个家庭冬季的正常使用。性价比超高的一款热水器，推荐购买！,2019-12-23
JSQ22-HWA,美的（Midea）,799.00,5,首先性价比非常高，活动期间。购买。而且安装免费。出水效果。出水速度也特别的快。耗能低。噪音也不是很大，然后颜值也很高。而且水温呃。非常适合自己。可以随意调高，调低，很灵活。美的这个品牌一直非常的信任。非常的不错。,2020-07-07
JSQ22-HWA,美的（Midea）,799.00,5,热水器安装迅速，调试正常，噪音不大，操作简单方便，安装师傅服务很好，满意。,2020-05-14
JSQ22-HWA,美的（Midea）,799.00,5,"外形外观：外形外观很漂亮。大面积的黑色显得很高档，第一眼看上去不像是这个档次的东西，因为还没有通燃气，所以没有办法通气实验，只是先安装上了。
安装服务：安装服务很迅速，态度也很积极。没有沟通上的问题。
按照目前的价位应该是便宜实惠。
其他的等通气之后再做评论。",2020-03-24
JSQ22-HWA,美的（Midea）,799.00,5,"外形外观：大方，传统。
恒温效果：还没使用，晚上用了再回评。
噪音大小：基本和原来老板牌的一样。
出水速度：流畅。
安装服务：师父非常好。
耗能情况：2级能耗。",2020-06-23
JSQ22-HWA,美的（Midea）,799.00,5,"外形外观：外观大气，外形美观。
恒温效果：效果显著，恒温比较稳定。
噪音大小：噪音极小，效果非常满意。
出水速度：出水速度比我以前那个快很多，非常满意这个产品。
安装服务：安装师傅比较细心，而且还把全部需要出水的都试了一次，非常感谢安装师傅。
耗能情况：用气的，这个还没有试过，相信美的产品。",2020-02-02
